section_id,round_id,round_no,mode_type,word_from,word_to,is_review
st2_sec7,st2_sec7_r01,1,fourChoices_en2ja,v0464,v0473,0
st2_sec7,st2_sec7_r02,2,fourChoices_en2ja,v0474,v0483,0
st2_sec7,st2_sec7_r03,3,fourChoices_en2ja,v0484,v0493,0
st2_sec7,st2_sec7_r04,4,fourChoices_en2ja,v0494,v0503,0
st2_sec7,st2_sec7_r05,5,fourChoices_ja2en,v0464,v0473,0
st2_sec7,st2_sec7_r06,6,fourChoices_ja2en,v0474,v0483,0
st2_sec7,st2_sec7_r07,7,fourChoices_ja2en,v0484,v0493,0
st2_sec7,st2_sec7_r08,8,fourChoices_ja2en,v0494,v0503,0
st2_sec7,st2_sec7_r09,9,typing,v0464,v0473,0
st2_sec7,st2_sec7_r10,10,typing,v0474,v0483,0
st2_sec7,st2_sec7_r11,11,typing,v0484,v0493,0
st2_sec7,st2_sec7_r12,12,typing,v0494,v0503,0
