word_id,word,ja,audio,stage,section_id,hint_image
v0224,musician,音楽家,musician.mp3,2,st2_sec1,
v0225,seafood,シーフード,seafood.mp3,2,st2_sec1,
v0226,electricity,電気,electricity.mp3,2,st2_sec1,
v0227,hobby,趣味,hobby.mp3,2,st2_sec1,
v0228,butterfly,チョウ,butterfly.mp3,2,st2_sec1,
v0229,skiing,スキー,skiing.mp3,2,st2_sec1,
v0230,magazine,雑誌,magazine.mp3,2,st2_sec1,
v0231,insect,昆虫,insect.mp3,2,st2_sec1,
v0232,drum,ドラム,drum.mp3,2,st2_sec1,
v0233,board,ボード・板,board.mp3,2,st2_sec1,
v0234,recipe,レシピ,recipe.mp3,2,st2_sec1,
v0235,French,フランス語・フランスの,French.mp3,2,st2_sec1,
v0236,golf,ゴルフ,golf.mp3,2,st2_sec1,
v0237,picnic,ピクニック,picnic.mp3,2,st2_sec1,
v0238,plastic,プラスチック,plastic.mp3,2,st2_sec1,
v0239,garden,庭,garden.mp3,2,st2_sec1,
v0240,energy,エネルギー,energy.mp3,2,st2_sec1,
v0241,elbow,ひじ,elbow.mp3,2,st2_sec1,
v0242,yogurt,ヨーグルト,yogurt.mp3,2,st2_sec1,
v0243,laptop,ノートパソコン,laptop.mp3,2,st2_sec1,
v0244,mug,マグカップ,mug.mp3,2,st2_sec1,
v0245,gold,金,gold.mp3,2,st2_sec1,
v0246,pillow,枕,pillow.mp3,2,st2_sec1,
v0247,soap,石けん,soap.mp3,2,st2_sec1,
v0248,skirt,スカート,skirt.mp3,2,st2_sec1,
v0249,duck,アヒル,duck.mp3,2,st2_sec1,
v0250,scissors,ハサミ,scissors.mp3,2,st2_sec1,
v0251,seat,席・座席,seat.mp3,2,st2_sec1,
v0252,guitar,ギター,guitar.mp3,2,st2_sec1,
v0253,bean,豆,bean.mp3,2,st2_sec1,
v0254,bee,ハチ,bee.mp3,2,st2_sec1,
v0255,dish,皿・料理,dish.mp3,2,st2_sec1,
v0256,skin,皮膚・肌,skin.mp3,2,st2_sec1,
v0257,thumb,親指,thumb.mp3,2,st2_sec1,
v0258,baggage,荷物,baggage.mp3,2,st2_sec1,
v0259,thunder,雷,thunder.mp3,2,st2_sec1,
v0260,health,健康,health.mp3,2,st2_sec1,
v0261,zebra,シマウマ,zebra.mp3,2,st2_sec1,
v0262,doll,人形,doll.mp3,2,st2_sec1,
v0263,stair,階段,stair.mp3,2,st2_sec1,
