word_id,word,ja,audio,stage,section_id,hint_image
v0121,street,通り,street.mp3,1,st1_sec4,
v0122,neck,首,neck.mp3,1,st1_sec4,
v0123,test,テスト,test.mp3,1,st1_sec4,
v0124,west,西,west.mp3,1,st1_sec4,
v0125,email,メール,email.mp3,1,st1_sec4,
v0126,cloud,雲,cloud.mp3,1,st1_sec4,
v0127,high school,高校,high school.mp3,1,st1_sec4,
v0128,bag,バッグ・かばん,bag.mp3,1,st1_sec4,
v0129,bicycle,自転車,bicycle.mp3,1,st1_sec4,
v0130,water,水,water.mp3,1,st1_sec4,
v0131,student,生徒・学生,student.mp3,1,st1_sec4,
v0132,tree,木,tree.mp3,1,st1_sec4,
v0133,rice,米,rice.mp3,1,st1_sec4,
v0134,east,東,east.mp3,1,st1_sec4,
v0135,table,テーブル,table.mp3,1,st1_sec4,
v0136,horse,馬,horse.mp3,1,st1_sec4,
v0137,pizza,ピザ,pizza.mp3,1,st1_sec4,
v0138,socks,靴下,socks.mp3,1,st1_sec4,
v0139,family,家族,family.mp3,1,st1_sec4,
v0140,bread,パン,bread.mp3,1,st1_sec4,
v0141,September,9月,September.mp3,1,st1_sec4,
v0142,chair,椅子,chair.mp3,1,st1_sec4,
v0143,girl,女の子,girl.mp3,1,st1_sec4,
v0144,head,頭,head.mp3,1,st1_sec4,
v0145,police,警察,police.mp3,1,st1_sec4,
v0146,earth,地球・土,earth.mp3,1,st1_sec4,
v0147,grandpa,おじいちゃん,grandpa.mp3,1,st1_sec4,
v0148,phone,電話,phone.mp3,1,st1_sec4,
v0149,Thursday,木曜日,Thursday.mp3,1,st1_sec4,
v0150,plane,飛行機,plane.mp3,1,st1_sec4,
v0151,weather,天気,weather.mp3,1,st1_sec4,
v0152,north,北,north.mp3,1,st1_sec4,
v0153,January,1月,January.mp3,1,st1_sec4,
v0154,April,4月,April.mp3,1,st1_sec4,
v0155,name,名前,name.mp3,1,st1_sec4,
v0156,wall,壁,wall.mp3,1,st1_sec4,
v0157,orange,オレンジ,orange.mp3,1,st1_sec4,
v0158,bike,自転車（バイク）,bike.mp3,1,st1_sec4,
v0159,birthday,誕生日,birthday.mp3,1,st1_sec4,
v0160,mouth,口,mouth.mp3,1,st1_sec4,
