word_id,word,ja,audio,stage,section_id,hint_image
v0424,fridge,冷蔵庫,fridge.mp3,2,st2_sec6,
v0425,bucket,バケツ,bucket.mp3,2,st2_sec6,
v0426,fever,熱,fever.mp3,2,st2_sec6,
v0427,snake,ヘビ,snake.mp3,2,st2_sec6,
v0428,kitchen knife,包丁,kitchen knife.mp3,2,st2_sec6,
v0429,king,王様,king.mp3,2,st2_sec6,
v0430,gray,灰色,gray.mp3,2,st2_sec6,
v0431,meeting,ミーティング,meeting.mp3,2,st2_sec6,
v0432,underwear,下着,underwear.mp3,2,st2_sec6,
v0433,radio,ラジオ,radio.mp3,2,st2_sec6,
v0434,snowman,雪だるま,snowman.mp3,2,st2_sec6,
v0435,alcohol,アルコール,alcohol.mp3,2,st2_sec6,
v0436,castle,城,castle.mp3,2,st2_sec6,
v0437,puzzle,パズル,puzzle.mp3,2,st2_sec6,
v0438,skill,スキル,skill.mp3,2,st2_sec6,
v0439,jeans,ジーンズ,jeans.mp3,2,st2_sec6,
v0440,tongue,舌,tongue.mp3,2,st2_sec6,
v0441,cherry,さくらんぼ,cherry.mp3,2,st2_sec6,
v0442,fire truck,消防車,fire truck.mp3,2,st2_sec6,
v0443,honey,はちみつ,honey.mp3,2,st2_sec6,
v0444,marathon,マラソン,marathon.mp3,2,st2_sec6,
v0445,comb,くし,comb.mp3,2,st2_sec6,
v0446,bathtub,バスタブ,bathtub.mp3,2,st2_sec6,
v0447,eggplant,ナス,eggplant.mp3,2,st2_sec6,
v0448,butter,バター,butter.mp3,2,st2_sec6,
v0449,monitor,モニター,monitor.mp3,2,st2_sec6,
v0450,grape,ブドウ,grape.mp3,2,st2_sec6,
v0451,junior high school,中学校,junior high school.mp3,2,st2_sec6,
v0452,goat,ヤギ,goat.mp3,2,st2_sec6,
v0453,helicopter,ヘリコプター,helicopter.mp3,2,st2_sec6,
v0454,middle school,中学校,middle school.mp3,2,st2_sec6,
v0455,pumpkin,カボチャ,pumpkin.mp3,2,st2_sec6,
v0456,soldier,兵士,soldier.mp3,2,st2_sec6,
v0457,desert,砂漠,desert.mp3,2,st2_sec6,
v0458,flight,フライト・飛行,flight.mp3,2,st2_sec6,
v0459,tank top,タンクトップ,tank top.mp3,2,st2_sec6,
v0460,farm,農場,farm.mp3,2,st2_sec6,
v0461,sunset,日没,sunset.mp3,2,st2_sec6,
v0462,playground,遊び場,playground.mp3,2,st2_sec6,
v0463,keyboard,キーボード,keyboard.mp3,2,st2_sec6,
