word_id,word,ja,audio,stage,section_id,hint_image
v0344,glasses,眼鏡,glasses.mp3,2,st2_sec4,
v0345,refrigerator,冷蔵庫,refrigerator.mp3,2,st2_sec4,
v0346,writer,作家,writer.mp3,2,st2_sec4,
v0347,boyfriend,ボーイフレンド,boyfriend.mp3,2,st2_sec4,
v0348,ruler,定規,ruler.mp3,2,st2_sec4,
v0349,boots,ブーツ,boots.mp3,2,st2_sec4,
v0350,giraffe,キリン,giraffe.mp3,2,st2_sec4,
v0351,sneakers,スニーカー,sneakers.mp3,2,st2_sec4,
v0352,stadium,スタジアム,stadium.mp3,2,st2_sec4,
v0353,octopus,タコ,octopus.mp3,2,st2_sec4,
v0354,shoulder,肩,shoulder.mp3,2,st2_sec4,
v0355,thousand,千,thousand.mp3,2,st2_sec4,
v0356,receipt,レシート,receipt.mp3,2,st2_sec4,
v0357,toothpaste,歯磨き粉,toothpaste.mp3,2,st2_sec4,
v0358,tuna,マグロ,tuna.mp3,2,st2_sec4,
v0359,cabbage,キャベツ,cabbage.mp3,2,st2_sec4,
v0360,football,フットボール・サッカー,football.mp3,2,st2_sec4,
v0361,Europe,ヨーロッパ,Europe.mp3,2,st2_sec4,
v0362,cartoon,漫画・アニメ,cartoon.mp3,2,st2_sec4,
v0363,ghost,幽霊,ghost.mp3,2,st2_sec4,
v0364,poem,詩,poem.mp3,2,st2_sec4,
v0365,furniture,家具,furniture.mp3,2,st2_sec4,
v0366,tent,テント,tent.mp3,2,st2_sec4,
v0367,watermelon,スイカ,watermelon.mp3,2,st2_sec4,
v0368,gym,ジム・体育館,gym.mp3,2,st2_sec4,
v0369,scarf,スカーフ,scarf.mp3,2,st2_sec4,
v0370,pan,フライパン,pan.mp3,2,st2_sec4,
v0371,princess,王女,princess.mp3,2,st2_sec4,
v0372,bowl,ボウル,bowl.mp3,2,st2_sec4,
v0373,comedy,コメディ,comedy.mp3,2,st2_sec4,
v0374,lip,唇,lip.mp3,2,st2_sec4,
v0375,cap,帽子,cap.mp3,2,st2_sec4,
v0376,chest,胸・チェスト,chest.mp3,2,st2_sec4,
v0377,autumn,秋,autumn.mp3,2,st2_sec4,
v0378,triangle,三角形,triangle.mp3,2,st2_sec4,
v0379,toe,足の指,toe.mp3,2,st2_sec4,
v0380,ice skating,アイススケート,ice skating.mp3,2,st2_sec4,
v0381,diary,日記,diary.mp3,2,st2_sec4,
v0382,chin,あご,chin.mp3,2,st2_sec4,
v0383,green pepper,ピーマン,green pepper.mp3,2,st2_sec4,
