word_id,word,ja,audio,stage,section_id
v0161,fire,火,fire.mp3,1,st1_sec5
v0162,bear,クマ,bear.mp3,1,st1_sec5
v0163,smile,笑顔,smile.mp3,1,st1_sec5
v0164,cow,牛,cow.mp3,1,st1_sec5
v0165,uncle,おじ,uncle.mp3,1,st1_sec5
v0166,tomato,トマト,tomato.mp3,1,st1_sec5
v0167,toilet,トイレ,toilet.mp3,1,st1_sec5
v0168,zoo,動物園,zoo.mp3,1,st1_sec5
v0169,carrot,ニンジン,carrot.mp3,1,st1_sec5
v0170,animal,動物,animal.mp3,1,st1_sec5
v0171,movie,映画,movie.mp3,1,st1_sec5
v0172,history,歴史,history.mp3,1,st1_sec5
v0173,fruit,果物,fruit.mp3,1,st1_sec5
v0174,Friday,金曜日,Friday.mp3,1,st1_sec5
v0175,airplane,飛行機,airplane.mp3,1,st1_sec5
v0176,October,10月,October.mp3,1,st1_sec5
v0177,banana,バナナ,banana.mp3,1,st1_sec5
v0178,week,週,week.mp3,1,st1_sec5
v0179,rain,雨,rain.mp3,1,st1_sec5
v0180,son,息子,son.mp3,1,st1_sec5
v0181,dream,夢,dream.mp3,1,st1_sec5
v0182,friend,友達,friend.mp3,1,st1_sec5
v0183,lion,ライオン,lion.mp3,1,st1_sec5
v0184,monkey,サル,monkey.mp3,1,st1_sec5
v0185,spring,春,spring.mp3,1,st1_sec5
v0186,smartphone,スマートフォン,smartphone.mp3,1,st1_sec5
v0187,Sunday,日曜日,Sunday.mp3,1,st1_sec5
v0188,cake,ケーキ,cake.mp3,1,st1_sec5
v0189,mother,母,mother.mp3,1,st1_sec5
v0190,Wednesday,水曜日,Wednesday.mp3,1,st1_sec5
v0191,season,季節,season.mp3,1,st1_sec5
v0192,February,2月,February.mp3,1,st1_sec5
v0193,chicken,鶏・チキン,chicken.mp3,1,st1_sec5
v0194,milk,牛乳,milk.mp3,1,st1_sec5
v0195,child,子ども,child.mp3,1,st1_sec5
v0196,home,家・ホーム,home.mp3,1,st1_sec5
v0197,elephant,ゾウ,elephant.mp3,1,st1_sec5
v0198,America,アメリカ,America.mp3,1,st1_sec5
v0199,mountain,山,mountain.mp3,1,st1_sec5
v0200,sugar,砂糖,sugar.mp3,1,st1_sec5
