word_id,word,ja,audio,stage,section_id
v1043,surgeon,外科医,surgeon.mp3,4,st4_sec1
v1044,Parliament,議会,Parliament.mp3,4,st4_sec1
v1045,moth,ガ（蛾）,moth.mp3,4,st4_sec1
v1046,theory,理論,theory.mp3,4,st4_sec1
v1047,retail,小売り,retail.mp3,4,st4_sec1
v1048,territory,領土,territory.mp3,4,st4_sec1
v1049,participant,参加者,participant.mp3,4,st4_sec1
v1050,lotus,ハス,lotus.mp3,4,st4_sec1
v1051,toll,通行料,toll.mp3,4,st4_sec1
v1052,oak,オーク（木）,oak.mp3,4,st4_sec1
v1053,orphan,孤児,orphan.mp3,4,st4_sec1
v1054,pension,年金,pension.mp3,4,st4_sec1
v1055,anemia,貧血,anemia.mp3,4,st4_sec1
v1056,measles,はしか,measles.mp3,4,st4_sec1
v1057,sophomore,2年生,sophomore.mp3,4,st4_sec1
v1058,rolling pin,麺棒,rolling pin.mp3,4,st4_sec1
v1059,blood vessel,血管,blood vessel.mp3,4,st4_sec1
v1060,slavery,奴隷制度,slavery.mp3,4,st4_sec1
v1061,regulation,規制,regulation.mp3,4,st4_sec1
v1062,immunity,免疫,immunity.mp3,4,st4_sec1
v1063,dialogue,対話,dialogue.mp3,4,st4_sec1
v1064,pepper mill,ペッパーミル,pepper mill.mp3,4,st4_sec1
v1065,hydrangea,アジサイ,hydrangea.mp3,4,st4_sec1
v1066,flea,ノミ,flea.mp3,4,st4_sec1
v1067,yarn,毛糸,yarn.mp3,4,st4_sec1
v1068,petroleum,石油,petroleum.mp3,4,st4_sec1
v1069,intelligence,知性・インテリジェンス,intelligence.mp3,4,st4_sec1
v1070,ecology,生態学,ecology.mp3,4,st4_sec1
v1071,judgment,判断・審判,judgment.mp3,4,st4_sec1
v1072,knitting needle,編み針,knitting needle.mp3,4,st4_sec1
v1073,mackerel,サバ,mackerel.mp3,4,st4_sec1
v1074,iris,アイリス（花）,iris.mp3,4,st4_sec1
v1075,tongs,トング,tongs.mp3,4,st4_sec1
v1076,a fork in the road,岐路・分岐点,a fork in the road.mp3,4,st4_sec1
v1077,committee,委員会,committee.mp3,4,st4_sec1
v1078,stiff shoulder,肩こり,stiff shoulder.mp3,4,st4_sec1
v1079,undergraduate,大学生,undergraduate.mp3,4,st4_sec1
v1080,tribe,部族,tribe.mp3,4,st4_sec1
v1081,bouldering,ボルダリング,bouldering.mp3,4,st4_sec1
v1082,azalea,ツツジ,azalea.mp3,4,st4_sec1
v1083,dye,染料・染める,dye.mp3,4,st4_sec2
v1084,exhibition,展覧会,exhibition.mp3,4,st4_sec2
v1085,geometry,幾何学,geometry.mp3,4,st4_sec2
v1086,astronomer,天文学者,astronomer.mp3,4,st4_sec2
v1087,sea otter,ラッコ,sea otter.mp3,4,st4_sec2
v1088,diabetes,糖尿病,diabetes.mp3,4,st4_sec2
v1089,sea horse,タツノオトシゴ,sea horse.mp3,4,st4_sec2
v1090,hypothesis,仮説,hypothesis.mp3,4,st4_sec2
v1091,identification,身分証明,identification.mp3,4,st4_sec2
v1092,craftspeople,職人たち,craftspeople.mp3,4,st4_sec2
v1093,council,議会・評議会,council.mp3,4,st4_sec2
v1094,headquarters,本社・本部,headquarters.mp3,4,st4_sec2
v1095,hardship,苦労・困難,hardship.mp3,4,st4_sec2
v1096,deposit,預金・保証金,deposit.mp3,4,st4_sec2
v1097,lever,レバー,lever.mp3,4,st4_sec2
v1098,interviewee,インタビューを受ける人,interviewee.mp3,4,st4_sec2
v1099,pistachio,ピスタチオ,pistachio.mp3,4,st4_sec2
v1100,statistic,統計,statistic.mp3,4,st4_sec2
v1101,menstrual cramps,生理痛,menstrual cramps.mp3,4,st4_sec2
v1102,earthworm,ミミズ,earthworm.mp3,4,st4_sec2
v1103,plantation,農園・プランテーション,plantation.mp3,4,st4_sec2
v1104,folkcraft,民芸品,folkcraft.mp3,4,st4_sec2
v1105,dustpan,ちりとり,dustpan.mp3,4,st4_sec2
v1106,sea urchin,ウニ,sea urchin.mp3,4,st4_sec2
v1107,interviewer,インタビュアー,interviewer.mp3,4,st4_sec2
v1108,military,軍・軍隊,military.mp3,4,st4_sec2
v1109,geology,地質学,geology.mp3,4,st4_sec2
v1110,self-discipline,自己管理,self-discipline.mp3,4,st4_sec2
v1111,inquiry,問い合わせ,inquiry.mp3,4,st4_sec2
v1112,refugee,難民,refugee.mp3,4,st4_sec2
v1113,globalization,グローバル化,globalization.mp3,4,st4_sec2
v1114,merchant,商人,merchant.mp3,4,st4_sec2
