word_id,word,ja,audio,stage,section_id,hint_image
v0041,grandfather,祖父,grandfather.mp3,1,st1_sec2,
v0042,desk,机,desk.mp3,1,st1_sec2,
v0043,car,車,car.mp3,1,st1_sec2,
v0044,apple,リンゴ,apple.mp3,1,st1_sec2,
v0045,airport,空港,airport.mp3,1,st1_sec2,
v0046,summer,夏,summer.mp3,1,st1_sec2,
v0047,meat,肉,meat.mp3,1,st1_sec2,
v0048,boat,ボート,boat.mp3,1,st1_sec2,
v0049,grandparents,祖父母,grandparents.mp3,1,st1_sec2,
v0050,grandma,おばあちゃん,grandma.mp3,1,st1_sec2,
v0051,hamburger,ハンバーガー,hamburger.mp3,1,st1_sec2,
v0052,father,父,father.mp3,1,st1_sec2,
v0053,night,夜,night.mp3,1,st1_sec2,
v0054,sheep,羊,sheep.mp3,1,st1_sec2,
v0055,hand,手,hand.mp3,1,st1_sec2,
v0056,photo,写真,photo.mp3,1,st1_sec2,
v0057,aunt,おば,aunt.mp3,1,st1_sec2,
v0058,house,家,house.mp3,1,st1_sec2,
v0059,August,8月,August.mp3,1,st1_sec2,
v0060,vegetable,野菜,vegetable.mp3,1,st1_sec2,
v0061,hundred,百,hundred.mp3,1,st1_sec2,
v0062,teacher,先生,teacher.mp3,1,st1_sec2,
v0063,husband,夫,husband.mp3,1,st1_sec2,
v0064,plate,皿(「p」から始まるやつ),plate.mp3,1,st1_sec2,
v0065,dinner,夕食・ディナー,dinner.mp3,1,st1_sec2,
v0066,sandwich,サンドイッチ,sandwich.mp3,1,st1_sec2,
v0067,train,電車,train.mp3,1,st1_sec2,
v0068,book,本,book.mp3,1,st1_sec2,
v0069,room,部屋,room.mp3,1,st1_sec2,
v0070,picture,絵・写真,picture.mp3,1,st1_sec2,
v0071,glass,グラス・ガラス,glass.mp3,1,st1_sec2,
v0072,team,チーム,team.mp3,1,st1_sec2,
v0073,beach,ビーチ・海岸,beach.mp3,1,st1_sec2,
v0074,restaurant,レストラン,restaurant.mp3,1,st1_sec2,
v0075,finger,指,finger.mp3,1,st1_sec2,
v0076,eye,目,eye.mp3,1,st1_sec2,
v0077,hour,時間(「1時間」とかのやつ),hour.mp3,1,st1_sec2,
v0078,November,11月,November.mp3,1,st1_sec2,
v0079,bus,バス,bus.mp3,1,st1_sec2,
v0080,strawberry,イチゴ,strawberry.mp3,1,st1_sec2,
