arrange_word_id,arrange_word,stage_id
va0201,begin,ast3
va0202,at least,ast3
va0203,right,ast3
va0204,basic,ast3
va0205,problem,ast3
va0206,broken,ast3
va0207,drop,ast3
va0208,dirty,ast3
va0209,climb,ast3
va0210,full,ast3
va0211,deep,ast3
va0212,free,ast3
va0213,be bad at,ast3
va0214,send,ast3
va0215,wide,ast3
va0216,look up,ast3
va0217,dress,ast3
va0218,address,ast3
va0219,show,ast3
va0220,correct,ast3
va0221,lot,ast3
va0222,ever,ast3
va0223,homework,ast3
va0224,get married,ast3
va0225,miss,ast3
va0226,weather,ast3
va0227,top,ast3
va0228,follow,ast3
va0229,cheap,ast3
va0230,visit,ast3
va0231,get sick,ast3
va0232,Any recommendations?,ast3
va0233,get on,ast3
va0234,this year,ast3
va0235,already,ast3
va0236,park,ast3
va0237,moon,ast3
va0238,pull,ast3
va0239,thirsty,ast3
va0240,hit,ast3
va0241,noon,ast3
va0242,all the way,ast3
va0243,lose,ast3
va0244,healthy,ast3
va0245,cooked,ast3
va0246,close,ast3
va0247,block,ast3
va0248,line,ast3
va0249,dream,ast3
va0250,get well,ast3
va0251,take a picture,ast3
va0252,important,ast3
va0253,each,ast3
va0254,still,ast3
va0255,empty,ast3
va0256,marry,ast3
va0257,work,ast3
va0258,pretty,ast3
va0259,loud,ast3
va0260,soon,ast3
va0261,chat,ast3
va0262,class,ast3
va0263,bathtub,ast3
va0264,watch,ast3
va0265,large,ast3
va0266,mean,ast3
va0267,helpful,ast3
va0268,gift,ast3
va0269,hold,ast3
va0270,younger,ast3
va0271,study,ast3
va0272,movie,ast3
va0273,once,ast3
va0274,bottom,ast3
va0275,sell,ast3
va0276,afraid,ast3
va0277,anime,ast3
va0278,amazing,ast3
va0279,chance,ast3
va0280,believe,ast3
va0281,poor,ast3
va0282,another,ast3
va0283,look for,ast3
va0284,example,ast3
va0285,tool,ast3
va0286,draw,ast3
va0287,rainy,ast3
va0288,busy,ast3
va0289,expensive,ast3
va0290,get out of,ast3
va0291,hurt,ast3
va0292,catch,ast3
va0293,studying,ast3
va0294,be over,ast3
va0295,able,ast3
va0296,by train,ast3
va0297,thin,ast3
va0298,grandparents,ast3
va0299,smell,ast3
va0300,wish,ast3
