arrange_word_id,arrange_word,stage_id
va0301,fit,ast4
va0302,actually,ast4
va0303,safe,ast4
va0304,plant,ast4
va0305,unhappy,ast4
va0306,rich,ast4
va0307,pay,ast4
va0308,easily,ast4
va0309,take care of,ast4
va0310,carry,ast4
va0311,hope,ast4
va0312,put ~ away,ast4
va0313,sleepy,ast4
va0314,plan,ast4
va0315,second,ast4
va0316,friendly,ast4
va0317,near,ast4
va0318,never,ast4
va0319,angry,ast4
va0320,outside,ast4
va0321,teach,ast4
va0322,leave,ast4
va0323,stay,ast4
va0324,be proud of,ast4
va0325,side,ast4
va0326,future,ast4
va0327,speak,ast4
va0328,check,ast4
va0329,fall,ast4
va0330,enough,ast4
va0331,rest,ast4
va0332,different,ast4
va0333,quiet,ast4
va0334,both,ast4
va0335,real,ast4
va0336,stick,ast4
va0337,get into,ast4
va0338,be born,ast4
va0339,emoticon,ast4
va0340,stop doing,ast4
va0341,few,ast4
va0342,borrow,ast4
va0343,kid,ast4
va0344,language,ast4
va0345,guess,ast4
va0346,sound,ast4
va0347,absolutely,ast4
va0348,often,ast4
va0349,feed,ast4
va0350,talk,ast4
va0351,turn,ast4
va0352,quickly,ast4
va0353,wear,ast4
va0354,bright,ast4
va0355,taste,ast4
va0356,awesome,ast4
va0357,pass,ast4
va0358,others,ast4
va0359,much,ast4
va0360,this place,ast4
va0361,town,ast4
va0362,build,ast4
va0363,late,ast4
va0364,delicious,ast4
va0365,die,ast4
va0366,fix,ast4
va0367,choose,ast4
va0368,knock,ast4
va0369,decide,ast4
va0370,move,ast4
va0371,street,ast4
va0372,ride,ast4
va0373,ashamed,ast4
va0374,lead,ast4
va0375,waste,ast4
va0376,enemy,ast4
va0377,business,ast4
va0378,Fahrenheit,ast4
va0379,author,ast4
va0380,difference,ast4
va0381,dangerous,ast4
va0382,congratulation,ast4
va0383,nightmare,ast4
va0384,advertising,ast4
va0385,kindness,ast4
va0386,thick,ast4
va0387,gardening,ast4
va0388,discuss,ast4
va0389,certainly,ast4
va0390,tight,ast4
va0391,fair,ast4
va0392,emotional,ast4
va0393,contact lenses,ast4
va0394,get along with,ast4
va0395,go bad,ast4
va0396,sudden,ast4
va0397,discover,ast4
va0398,hang,ast4
va0399,crowd funding,ast4
va0400,difficulty,ast4
