question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second,highlight_chips
e0401,va0201,begin,When does the movie begin?,In about ten minutes!,映画いつ始まるの？,あと10分くらいだよ！,Ivy,Kevin,1,Ivy,Kevin,___________,In about ten minutes!,When does the movie begin?,When|does|the|movie|begin?,e0401-a.mp3,e0401-b.mp3,1,user,Kevin.png,right,left,begin?
e0402,va0201,begin,Let's begin with the easy questions first.,,まずは簡単な問題から始めよう。,,Ivy,,1,Ivy,,___________,,Let's begin with the easy questions first.,Let's|begin|with|the|easy|questions|first.,e0402-a.mp3,,1,user,,right,none,begin
e0403,va0202,at least,You should sleep at least eight hours.,"I know, but I always stay up too late.",少なくとも8時間は寝たほうがいいよ。,わかってるけど、いつも夜更かししちゃうんだ。,Ruth,Ivy,1,Ruth,Ivy,___________,"I know, but I always stay up too late.",You should sleep at least eight hours.,You|should|sleep|at|least|eight|hours.,e0403-a.mp3,e0403-b.mp3,1,05.png,user,left,right,at|least
e0404,va0202,at least,At least it didn't rain during the trip.,,少なくとも旅行中は雨が降らなかったね。,,Ivy,,1,Ivy,,___________,,At least it didn't rain during the trip.,At|least|it|didn't|rain|during|the|trip.,e0404-a.mp3,,1,user,,right,none,At|least
e0405,va0203,right,Is this the right way to the gym?,"Yeah, keep going straight!",これ体育館への正しい道?,うん、まっすぐ進んで！,Ivy,Kevin,1,Ivy,Kevin,___________,"Yeah, keep going straight!",Is this the right way to the gym?,Is|this|the|right|way|to|the|gym?,e0405-a.mp3,e0405-b.mp3,1,user,Kevin.png,right,left,right
e0406,va0203,right,"That's not right, let me check the answer again.",,それ違うよ、もう一回答え確認させて。,,Ivy,,1,Ivy,,___________,,"That's not right, let me check the answer again.","That's|not|right,|let|me|check|the|answer|again.",e0406-a.mp3,,1,user,,right,none,"right,"
e0407,va0204,basic,Can you teach me the basic rules of chess?,"Sure, it's easier than it looks!",チェスの基本ルール教えてくれる？,うん、見た目より簡単だよ！,Ivy,Ruth,1,Ivy,Ruth,___________,"Sure, it's easier than it looks!",Can you teach me the basic rules of chess?,Can|you|teach|me|the|basic|rules|of|chess?,e0407-a.mp3,e0407-b.mp3,1,user,05.png,right,left,basic
e0408,va0204,basic,I only know the basic phrases in French.,,フランス語は基本的なフレーズしか知らないんだ。,,Ivy,,1,Ivy,,___________,,I only know the basic phrases in French.,I|only|know|the|basic|phrases|in|French.,e0408-a.mp3,,1,user,,right,none,basic
e0409,va0205,problem,I have a problem with my computer.,What's wrong with it?,パソコンに問題があるんだ。,どうしたの？,Ivy,Matthew,1,Ivy,Matthew,___________,What's wrong with it?,I have a problem with my computer.,I|have|a|problem|with|my|computer.,e0409-a.mp3,e0409-b.mp3,1,user,Matthew.png,right,left,problem
e0410,va0205,problem,"No problem, I can help you with that.",,問題ないよ、それ手伝えるから。,,Ivy,,1,Ivy,,___________,,"No problem, I can help you with that.","No|problem,|I|can|help|you|with|that.",e0410-a.mp3,,1,user,,right,none,"problem,"
e0411,va0206,broken,My headphones are broken.,"That's too bad, when did that happen?",ヘッドホン壊れちゃったんだ。,それは残念、いつそうなったの？,Ivy,Kevin,1,Ivy,Kevin,___________,"That's too bad, when did that happen?",My headphones are broken.,My|headphones|are|broken.,e0411-a.mp3,e0411-b.mp3,1,user,Kevin.png,right,left,broken.
e0412,va0206,broken,The vending machine on the second floor is broken again.,,2階の自動販売機、また壊れてるよ。,,Ivy,,1,Ivy,,___________,,The vending machine on the second floor is broken again.,The|vending|machine|on|the|second|floor|is|broken|again.,e0412-a.mp3,,1,user,,right,none,broken
e0413,va0207,drop,"Careful, don't drop that plate!","I've got it, don't worry!",気をつけて、そのお皿落とさないで！,持ってるから、大丈夫！,Matthew,Ivy,1,Matthew,Ivy,___________,"I've got it, don't worry!","Careful, don't drop that plate!","Careful,|don't|drop|that|plate!",e0413-a.mp3,e0413-b.mp3,1,Matthew.png,user,left,right,drop
e0414,va0207,drop,"I dropped my phone in the toilet, it was awful.",,トイレにスマホ落としちゃって、最悪だったよ。,,Ivy,,1,Ivy,,___________,,"I dropped my phone in the toilet, it was awful.","I|dropped|my|phone|in|the|toilet,|it|was|awful.",e0414-a.mp3,,1,user,,right,none,dropped
e0415,va0208,dirty,Your shoes are so dirty.,"Yeah, I walked through the mud.",靴すごく汚れてるね。,うん、泥の中歩いたから。,Kevin,Ivy,1,Kevin,Ivy,___________,"Yeah, I walked through the mud.",Your shoes are so dirty.,Your|shoes|are|so|dirty.,e0415-a.mp3,e0415-b.mp3,1,Kevin.png,user,left,right,dirty.
e0416,va0208,dirty,Can you wash these dirty dishes?,,この汚れたお皿洗ってくれる？,,Matthew,,1,Matthew,,___________,,Can you wash these dirty dishes?,Can|you|wash|these|dirty|dishes?,e0416-a.mp3,,1,Matthew.png,,left,none,dirty
e0417,va0209,climb,Do you want to climb that hill with me?,"Sure, sounds like a good workout!",一緒にあの丘登らない？,いいね、いい運動になりそう！,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, sounds like a good workout!",Do you want to climb that hill with me?,Do|you|want|to|climb|that|hill|with|me?,e0417-a.mp3,e0417-b.mp3,1,user,Kevin.png,right,left,climb
e0418,va0209,climb,It took us an hour to climb to the top.,,頂上まで登るのに1時間かかったよ。,,Ivy,,1,Ivy,,___________,,It took us an hour to climb to the top.,It|took|us|an|hour|to|climb|to|the|top.,e0418-a.mp3,,1,user,,right,none,climb
e0419,va0210,full,Are you full already?,"Yeah, that was so much food!",もうお腹いっぱいなの？,うん、すごい量の食事だったから！,Ivy,Kevin,1,Ivy,Kevin,___________,"Yeah, that was so much food!",Are you full already?,Are|you|full|already?,e0419-a.mp3,e0419-b.mp3,1,user,Kevin.png,right,left,full
e0420,va0210,full,The train was completely full this morning.,,今朝の電車は満員だったよ。,,Ivy,,1,Ivy,,___________,,The train was completely full this morning.,The|train|was|completely|full|this|morning.,e0420-a.mp3,,1,user,,right,none,full
e0421,va0211,deep,Is the pool deep here?,"Yeah, it's over your head!",このプール深い？,うん、頭より深いよ！,Ivy,Kevin,1,Ivy,Kevin,___________,"Yeah, it's over your head!",Is the pool deep here?,Is|the|pool|deep|here?,e0421-a.mp3,e0421-b.mp3,1,user,Kevin.png,right,left,deep
e0422,va0211,deep,Take a deep breath before your speech.,,スピーチの前に深呼吸してね。,,Ruth,,1,Ruth,,___________,,Take a deep breath before your speech.,Take|a|deep|breath|before|your|speech.,e0422-a.mp3,,1,05.png,,left,none,deep
e0423,va0212,free,Are you free this weekend?,"Yeah, I don't have any plans!",今週末暇？,うん、予定何もないよ！,Ivy,Kevin,1,Ivy,Kevin,___________,"Yeah, I don't have any plans!",Are you free this weekend?,Are|you|free|this|weekend?,e0423-a.mp3,e0423-b.mp3,1,user,Kevin.png,right,left,free
e0424,va0212,free,This app is free to download.,,このアプリは無料でダウンロードできるよ。,,Ivy,,1,Ivy,,___________,,This app is free to download.,This|app|is|free|to|download.,e0424-a.mp3,,1,user,,right,none,free
e0425,va0213,be bad at,I'm really bad at cooking.,"Same, I always burn everything!",私、料理本当に苦手なんだ。,私も、いつも何でも焦がしちゃう！,Ivy,Kevin,1,Ivy,Kevin,___________,"Same, I always burn everything!",I'm really bad at cooking.,I'm|really|bad|at|cooking.,e0425-a.mp3,e0425-b.mp3,1,user,Kevin.png,right,left,bad|at
e0426,va0213,be bad at,"He's not bad at drawing, actually.",,彼は実は絵を描くのそんなに下手じゃないんだよ。,,Ivy,,1,Ivy,,___________,,"He's not bad at drawing, actually.","He's|not|bad|at|drawing,|actually.",e0426-a.mp3,,1,user,,right,none,bad|at
e0427,va0214,send,Can you send me that photo?,"Sure, give me a second.",その写真送ってくれる？,うん、ちょっと待って。,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, give me a second.",Can you send me that photo?,Can|you|send|me|that|photo?,e0427-a.mp3,e0427-b.mp3,1,user,Kevin.png,right,left,send
e0428,va0214,send,I already sent the email to the teacher.,,もう先生にメール送ったよ。,,Ivy,,1,Ivy,,___________,,I already sent the email to the teacher.,I|already|sent|the|email|to|the|teacher.,e0428-a.mp3,,1,user,,right,none,sent
e0429,va0215,wide,This river is really wide.,"Yeah, we can't swim across it.",この川、本当に広いね。,うん、泳いで渡れないよ。,Ivy,Kevin,1,Ivy,Kevin,___________,"Yeah, we can't swim across it.",This river is really wide.,This|river|is|really|wide.,e0429-a.mp3,e0429-b.mp3,1,user,Kevin.png,right,left,wide.
e0430,va0215,wide,Her eyes went wide when she saw the surprise.,,サプライズを見た彼女の目が大きく見開かれたよ。,,Ivy,,1,Ivy,,___________,,Her eyes went wide when she saw the surprise.,Her|eyes|went|wide|when|she|saw|the|surprise.,e0430-a.mp3,,1,user,,right,none,wide
