question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second,highlight_chips
e0201,va0101,inside,"Let's go inside, it's freezing out here.","Good idea, I'm cold too!",中に入ろう、外寒すぎる。,いいね、私も寒い！,Kevin,Ivy,1,Kevin,Ivy,___________,"Good idea, I'm cold too!","Let's go inside, it's freezing out here.","Let's|go|inside,|it's|freezing|out|here.",e0201-a.mp3,e0201-b.mp3,1,Kevin.png,user,left,right,"inside,"
e0202,va0101,inside,There's a small toy inside this box.,,この箱の中に小さいおもちゃが入ってるよ。,,Ivy,,1,Ivy,,___________,,There's a small toy inside this box.,There's|a|small|toy|inside|this|box.,e0202-a.mp3,,1,user,,right,none,inside
e0203,va0102,forget,Don't forget your homework tomorrow.,"I won't, I promise!",明日宿題忘れないでね。,忘れないよ、約束する！,Matthew,Ivy,1,Matthew,Ivy,___________,"I won't, I promise!",Don't forget your homework tomorrow.,Don't|forget|your|homework|tomorrow.,e0203-a.mp3,e0203-b.mp3,1,Matthew.png,user,left,right,forget
e0204,va0102,forget,I always forget where I put my glasses.,,眼鏡をどこに置いたかいつも忘れちゃうんだ。,,Ivy,,1,Ivy,,___________,,I always forget where I put my glasses.,I|always|forget|where|I|put|my|glasses.,e0204-a.mp3,,1,user,,right,none,forget
e0205,va0103,garden,We planted tomatoes in the garden.,That sounds fun!,庭にトマトを植えたんだ。,楽しそうだね！,Ivy,Matthew,1,Ivy,Matthew,___________,That sounds fun!,We planted tomatoes in the garden.,We|planted|tomatoes|in|the|garden.,e0205-a.mp3,e0205-b.mp3,1,user,Matthew.png,right,left,garden.
e0206,va0103,garden,The garden looks beautiful in spring.,,庭は春になるととてもきれいだよ。,,Ivy,,1,Ivy,,___________,,The garden looks beautiful in spring.,The|garden|looks|beautiful|in|spring.,e0206-a.mp3,,1,user,,right,none,garden
e0207,va0104,quick,Can you make a quick sandwich for me?,"Sure, give me two minutes.",さっとサンドイッチ作ってくれる？,うん、2分ちょうだい。,Ivy,Matthew,1,Ivy,Matthew,___________,"Sure, give me two minutes.",Can you make a quick sandwich for me?,Can|you|make|a|quick|sandwich|for|me?,e0207-a.mp3,e0207-b.mp3,1,user,Matthew.png,right,left,quick
e0208,va0104,quick,That was a quick trip to the store!,,お店に行くの、あっという間だったね！,,Ivy,,1,Ivy,,___________,,That was a quick trip to the store!,That|was|a|quick|trip|to|the|store!,e0208-a.mp3,,1,user,,right,none,quick
e0209,va0105,fat,This cat looks so fat and fluffy!,"Haha, she loves eating.",この猫、すごく太ってふわふわだね！,はは、食べるの大好きなんだよ。,Kevin,Ivy,1,Kevin,Ivy,___________,"Haha, she loves eating.",This cat looks so fat and fluffy!,This|cat|looks|so|fat|and|fluffy!,e0209-a.mp3,e0209-b.mp3,1,Kevin.png,user,left,right,fat
e0210,va0105,fat,Fat is stored in the body for energy.,,脂肪はエネルギーとして体に蓄えられるんだ。,,Ruth,,1,Ruth,,___________,,Fat is stored in the body for energy.,Fat|is|stored|in|the|body|for|energy.,e0210-a.mp3,,1,05.png,,left,none,Fat
