question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,highlight_chips,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second
e1201,va0601,shake,Why are your hands shaking so much?,I'm about to give my speech in front of everyone.,なんでそんなに手が震えてるの？,これからみんなの前でスピーチするんだ。,Ivy,Kevin,1,shaking,Ivy,Kevin,___________,I'm about to give my speech in front of everyone.,Why are your hands shaking so much?,Why|are|your|hands|shaking|so|much?,e1201-a.mp3,e1201-b.mp3,1,user,Kevin.png,right,left
e1202,va0601,shake,Shake the bottle well before you pour it.,"Oops, I forgot last time and it tasted watery.",注ぐ前にボトルをよく振ってね。,あっ、この前忘れて薄い味になっちゃいました。,Ruth,Ivy,1,Shake,Ruth,Ivy,___________,"Oops, I forgot last time and it tasted watery.",Shake the bottle well before you pour it.,Shake|the|bottle|well|before|you|pour|it.,e1202-a.mp3,e1202-b.mp3,1,05.png,user,left,right
e1203,va0602,height,What's your height now? You've grown so much.,I think I'm about 160 centimeters.,今の身長はどれくらい？ずいぶん伸びたわね。,160センチくらいだと思います。,Ruth,Ivy,1,height,Ruth,Ivy,___________,I think I'm about 160 centimeters.,What's your height now? You've grown so much.,What's|your|height|now?|You've|grown|so|much.,e1203-a.mp3,e1203-b.mp3,1,05.png,user,left,right
e1204,va0602,height,I was surprised by the height of the tower on our school trip.,,修学旅行で、あの塔の高さにびっくりした。,,Ivy,,1,height,Ivy,,___________,,I was surprised by the height of the tower on our school trip.,I|was|surprised|by|the|height|of|the|tower|on|our|school|trip.,e1204-a.mp3,,1,user,,right,none
e1205,va0603,rise,The sun will rise around five tomorrow.,Then let's meet at the beach before that.,明日は5時ごろに日が昇るよ。,じゃあその前に浜辺で待ち合わせしよう。,Kevin,Ivy,1,rise,Kevin,Ivy,___________,Then let's meet at the beach before that.,The sun will rise around five tomorrow.,The|sun|will|rise|around|five|tomorrow.,e1205-a.mp3,e1205-b.mp3,1,Kevin.png,user,left,right
e1206,va0603,rise,I think the number of club members will rise if we make a poster.,"That's a good idea, let's try it.",ポスターを作れば部員の数は増えると思う。,いい考えだね、やってみよう。,Ivy,Kevin,1,rise,Ivy,Kevin,___________,"That's a good idea, let's try it.",I think the number of club members will rise if we make a poster.,I|think|the|number|of|club|members|will|rise|if|we|make|a|poster.,e1206-a.mp3,e1206-b.mp3,1,user,Kevin.png,right,left
e1207,va0604,energetic,You seem so energetic today.,I finally got a full night of sleep!,今日はすごく元気そうね。,やっと一晩ぐっすり眠れたんです！,Ruth,Ivy,1,energetic,Ruth,Ivy,___________,I finally got a full night of sleep!,You seem so energetic today.,You|seem|so|energetic|today.,e1207-a.mp3,e1207-b.mp3,1,05.png,user,left,right
e1208,va0604,energetic,My little brother is way more energetic than me.,,弟は私よりずっと元気いっぱいなんだ。,,Ivy,,1,energetic,Ivy,,___________,,My little brother is way more energetic than me.,My|little|brother|is|way|more|energetic|than|me.,e1208-a.mp3,,1,user,,right,none
e1209,va0605,damage,The typhoon did a lot of damage to our garden.,I'll help you clean it up after school.,台風で庭がかなりやられたよ。,放課後、片付け手伝うね。,Matthew,Ivy,1,damage,Matthew,Ivy,___________,I'll help you clean it up after school.,The typhoon did a lot of damage to our garden.,The|typhoon|did|a|lot|of|damage|to|our|garden.,e1209-a.mp3,e1209-b.mp3,1,Matthew.png,user,left,right
e1210,va0605,damage,I think plastic waste damages the ocean more than we realize.,,プラスチックごみは、思っている以上に海を傷つけていると思う。,,Ivy,,1,damages,Ivy,,___________,,I think plastic waste damages the ocean more than we realize.,I|think|plastic|waste|damages|the|ocean|more|than|we|realize.,e1210-a.mp3,,1,user,,right,none
e1211,va0606,comfort,"This old sweater is all about comfort, not style.",,この古いセーター、おしゃれじゃないけど着心地は最高なんだ。,,Ivy,,1,"comfort,",Ivy,,___________,,"This old sweater is all about comfort, not style.","This|old|sweater|is|all|about|comfort,|not|style.",e1211-a.mp3,,1,user,,right,none
