question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,highlight_chips,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second
e1001,va0501,scream,Did you hear someone scream on the roller coaster?,"Yeah, I think that was me, honestly!",ジェットコースターで誰か叫んでたの聞いた？,うん、正直それ私だと思う！,Ivy,Kevin,1,scream,Ivy,Kevin,___________,"Yeah, I think that was me, honestly!",Did you hear someone scream on the roller coaster?,Did|you|hear|someone|scream|on|the|roller|coaster?,e1001-a.mp3,e1001-b.mp3,1,user,Kevin.png,right,left
e1002,va0501,scream,I screamed so loud when the spider fell on my desk.,,蜘蛛が机に落ちてきた時、すごい声で叫んじゃったんだ。,,Ivy,,1,screamed,Ivy,,___________,,I screamed so loud when the spider fell on my desk.,I|screamed|so|loud|when|the|spider|fell|on|my|desk.,e1002-a.mp3,,1,user,,right,none
e1003,va0502,nature,I think spending time in nature really helps me relax.,"Same here, I always feel better after a walk outside.",自然の中で過ごす時間は、本当にリラックスできると思うな。,私も、外を散歩した後はいつも気分が良くなるよ。,Ivy,Kevin,1,nature,Ivy,Kevin,___________,"Same here, I always feel better after a walk outside.",I think spending time in nature really helps me relax.,I|think|spending|time|in|nature|really|helps|me|relax.,e1003-a.mp3,e1003-b.mp3,1,user,Kevin.png,right,left
e1004,va0502,nature,We went hiking to enjoy some fresh nature this weekend.,,週末、自然を満喫しにハイキングに行ったんだ。,,Ivy,,1,nature,Ivy,,___________,,We went hiking to enjoy some fresh nature this weekend.,We|went|hiking|to|enjoy|some|fresh|nature|this|weekend.,e1004-a.mp3,,1,user,,right,none
e1005,va0503,downtown,Do you want to go downtown this weekend?,"Sure, we could check out that new café.",今週末、街に出かけない？,いいね、あの新しいカフェ見てみようよ。,Ivy,Kevin,1,downtown,Ivy,Kevin,___________,"Sure, we could check out that new café.",Do you want to go downtown this weekend?,Do|you|want|to|go|downtown|this|weekend?,e1005-a.mp3,e1005-b.mp3,1,user,Kevin.png,right,left
e1006,va0503,downtown,There's a big festival happening downtown next month.,,来月、街中で大きなお祭りがあるんだ。,,Ivy,,1,downtown,Ivy,,___________,,There's a big festival happening downtown next month.,There's|a|big|festival|happening|downtown|next|month.,e1006-a.mp3,,1,user,,right,none
e1007,va0504,detective,I'm reading a detective novel about a mystery in an old mansion.,"That sounds exciting, can I borrow it after you?",古い屋敷の謎を解く探偵小説を読んでるんだ。,面白そうだね、読み終わったら貸してくれる？,Ivy,Kevin,1,detective,Ivy,Kevin,___________,"That sounds exciting, can I borrow it after you?",I'm reading a detective novel about a mystery in an old mansion.,I'm|reading|a|detective|novel|about|a|mystery|in|an|old|mansion.,e1007-a.mp3,e1007-b.mp3,1,user,Kevin.png,right,left
e1008,va0504,detective,The detective figured out who the culprit was in the last chapter.,,最後の章で、探偵が犯人が誰か突き止めたんだ。,,Ivy,,1,detective,Ivy,,___________,,The detective figured out who the culprit was in the last chapter.,The|detective|figured|out|who|the|culprit|was|in|the|last|chapter.,e1008-a.mp3,,1,user,,right,none
e1009,va0505,national,I think our school should join the national art contest.,"That's a great idea, let's ask the art teacher about it.",私たちの学校も全国美術コンテストに参加すべきだと思うな。,それはいいアイデアだね、美術の先生に聞いてみようよ。,Ivy,Kevin,1,national,Ivy,Kevin,___________,"That's a great idea, let's ask the art teacher about it.",I think our school should join the national art contest.,I|think|our|school|should|join|the|national|art|contest.,e1009-a.mp3,e1009-b.mp3,1,user,Kevin.png,right,left
e1010,va0505,national,She won a national award for her science project.,,彼女は自由研究で全国的な賞を取ったんだ。,,Ivy,,1,national,Ivy,,___________,,She won a national award for her science project.,She|won|a|national|award|for|her|science|project.,e1010-a.mp3,,1,user,,right,none
e1011,va0506,microwave,Can you heat this up in the microwave for me?,"Sure, how long should I set it for?",これ電子レンジで温めてくれる？,うん、何分にセットすればいい？,Ivy,Matthew,1,microwave,Ivy,Matthew,___________,"Sure, how long should I set it for?",Can you heat this up in the microwave for me?,Can|you|heat|this|up|in|the|microwave|for|me?,e1011-a.mp3,e1011-b.mp3,1,user,Matthew.png,right,left
