question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,highlight_chips,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second
e1601,va0801,quarter,Can you cut the apple into quarters?,"Sure, one piece for each of us.",りんごを4等分に切ってくれる？,いいよ、一人一切れずつだね。,Ivy,Matthew,1,quarters?,Ivy,Matthew,___________,"Sure, one piece for each of us.",Can you cut the apple into quarters?,Can|you|cut|the|apple|into|quarters?,e1601-a.mp3,e1601-b.mp3,1,user,Matthew.png,right,left
e1602,va0801,quarter,We only finished a quarter of the puzzle.,,パズルはまだ4分の1しか終わっていない。,,Ivy,,1,quarter,Ivy,,___________,,We only finished a quarter of the puzzle.,We|only|finished|a|quarter|of|the|puzzle.,e1602-a.mp3,,1,user,,right,none
e1603,va0802,figure,I can't figure out this math problem.,Try drawing a picture of it first.,この数学の問題が解けません。,まず図を描いてみて。,Ivy,Ruth,1,figure,Ivy,Ruth,___________,Try drawing a picture of it first.,I can't figure out this math problem.,I|can't|figure|out|this|math|problem.,e1603-a.mp3,e1603-b.mp3,1,user,05.png,right,left
e1604,va0802,figure,The figure on the graph shows a big jump in May.,,グラフの数字は、5月に大きく伸びたことを示しています。,,Ivy,,1,figure,Ivy,,___________,,The figure on the graph shows a big jump in May.,The|figure|on|the|graph|shows|a|big|jump|in|May.,e1604-a.mp3,,1,user,,right,none
e1605,va0803,offer,Thank you for your offer to help with the setup.,I'll come thirty minutes early.,準備を手伝うと申し出てくれてありがとう。,30分早く来ますね。,Ruth,Ivy,1,offer,Ruth,Ivy,___________,I'll come thirty minutes early.,Thank you for your offer to help with the setup.,Thank|you|for|your|offer|to|help|with|the|setup.,e1605-a.mp3,e1605-b.mp3,1,05.png,user,left,right
e1606,va0803,offer,Did anyone offer to carry the boxes?,Two students already did.,箱を運ぶって誰か申し出た？,もう2人やってくれたよ。,Kevin,Ivy,1,offer,Kevin,Ivy,___________,Two students already did.,Did anyone offer to carry the boxes?,Did|anyone|offer|to|carry|the|boxes?,e1606-a.mp3,e1606-b.mp3,1,Kevin.png,user,left,right
e1607,va0804,though,How was the test?,"Hard, though I finished every question.",テストどうだった？,難しかった、でも全問終わらせたよ。,Kevin,Ivy,2,though,Kevin,Ivy,How was the test?,___________,"Hard, though I finished every question.","Hard,|though|I|finished|every|question.",e1607-a.mp3,e1607-b.mp3,1,Kevin.png,user,left,right
e1608,va0804,though,"Though it was cold, we stayed at the park until dark.",,寒かったけど、暗くなるまで公園にいた。,,Ivy,,1,Though,Ivy,,___________,,"Though it was cold, we stayed at the park until dark.","Though|it|was|cold,|we|stayed|at|the|park|until|dark.",e1608-a.mp3,,1,user,,right,none
e1609,va0805,accept,Did she accept your apology?,"Yes, and we talked for a while after that.",彼女は謝罪を受け入れてくれた？,はい、そのあと少し話しました。,Ruth,Ivy,1,accept,Ruth,Ivy,___________,"Yes, and we talked for a while after that.",Did she accept your apology?,Did|she|accept|your|apology?,e1609-a.mp3,e1609-b.mp3,1,05.png,user,left,right
e1610,va0805,accept,I decided to accept the role even though I was scared.,,怖かったけど、その役を引き受けることにした。,,Ivy,,1,accept,Ivy,,___________,,I decided to accept the role even though I was scared.,I|decided|to|accept|the|role|even|though|I|was|scared.,e1610-a.mp3,,1,user,,right,none
