question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,highlight_chips,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second
e0801,va0401,terrible,"That test was terrible, I have no idea how I did.","Same, I think I failed at least two questions.",あのテスト最悪だった、どうだったか全然わかんない。,私も、少なくとも2問は間違えたと思う。,Ivy,Kevin,1,"terrible,",Ivy,Kevin,___________,"Same, I think I failed at least two questions.","That test was terrible, I have no idea how I did.","That|test|was|terrible,|I|have|no|idea|how|I|did.",e0801-a.mp3,e0801-b.mp3,1,user,Kevin.png,right,left
e0802,va0401,terrible,I had a terrible headache during class today.,,今日授業中、ひどい頭痛がしたんだ。,,Ivy,,1,terrible,Ivy,,___________,,I had a terrible headache during class today.,I|had|a|terrible|headache|during|class|today.,e0802-a.mp3,,1,user,,right,none
e0803,va0402,background,"For my presentation, I'll explain the background of this event first.","Sounds good, take your time.",発表では、まずこの出来事の背景から説明したいと思います。,いいですね、ゆっくりどうぞ。,Ivy,Ruth,1,background,Ivy,Ruth,___________,"Sounds good, take your time.","For my presentation, I'll explain the background of this event first.","For|my|presentation,|I'll|explain|the|background|of|this|event|first.",e0803-a.mp3,e0803-b.mp3,1,user,05.png,right,left
e0804,va0402,background,Her family background really influenced her writing style.,,彼女の家庭環境は、彼女の文体に大きな影響を与えたんだ。,,Ruth,,1,background,Ruth,,___________,,Her family background really influenced her writing style.,Her|family|background|really|influenced|her|writing|style.,e0804-a.mp3,,1,05.png,,left,none
e0805,va0403,hide,Where did you hide my phone? Give it back!,"Relax, it's under your pillow!",私のスマホどこに隠したの？返して！,落ち着いて、枕の下だよ！,Kevin,Ivy,1,hide,Kevin,Ivy,___________,"Relax, it's under your pillow!",Where did you hide my phone? Give it back!,Where|did|you|hide|my|phone?|Give|it|back!,e0805-a.mp3,e0805-b.mp3,1,Kevin.png,user,left,right
e0806,va0403,hide,I tried to hide how nervous I was during the speech.,,スピーチの間、緊張してるのを隠そうとしたんだ。,,Ivy,,1,hide,Ivy,,___________,,I tried to hide how nervous I was during the speech.,I|tried|to|hide|how|nervous|I|was|during|the|speech.,e0806-a.mp3,,1,user,,right,none
e0807,va0404,frame,Could you help me put this photo in a frame?,"Sure, let's find one that matches your room.",この写真を額に入れるの手伝ってもらえますか？,もちろん、お部屋に合うのを探しましょうか。,Ivy,Matthew,1,frame?,Ivy,Matthew,___________,"Sure, let's find one that matches your room.",Could you help me put this photo in a frame?,Could|you|help|me|put|this|photo|in|a|frame?,e0807-a.mp3,e0807-b.mp3,1,user,Matthew.png,right,left
e0808,va0404,frame,This picture frame was a gift from my grandmother.,,この写真立ては、おばあちゃんからのプレゼントなんだ。,,Ivy,,1,frame,Ivy,,___________,,This picture frame was a gift from my grandmother.,This|picture|frame|was|a|gift|from|my|grandmother.,e0808-a.mp3,,1,user,,right,none
e0809,va0405,apply,Are you going to apply for the student council?,"I'm thinking about it, actually.",生徒会に立候補するの？,実は考えてるんだ。,Kevin,Ivy,1,apply,Kevin,Ivy,___________,"I'm thinking about it, actually.",Are you going to apply for the student council?,Are|you|going|to|apply|for|the|student|council?,e0809-a.mp3,e0809-b.mp3,1,Kevin.png,user,left,right
e0810,va0405,apply,I think this rule should apply to everyone equally.,,このルールは、みんなに平等に適用されるべきだと思うな。,,Ivy,,1,apply,Ivy,,___________,,I think this rule should apply to everyone equally.,I|think|this|rule|should|apply|to|everyone|equally.,e0810-a.mp3,,1,user,,right,none
e0811,va0406,afford,"I can't afford those shoes, they're way too expensive.","Yeah, maybe wait for a sale.",あの靴、高すぎて買えないよ。,うん、セールを待ったほうがいいかもね。,Ivy,Kevin,1,afford,Ivy,Kevin,___________,"Yeah, maybe wait for a sale.","I can't afford those shoes, they're way too expensive.","I|can't|afford|those|shoes,|they're|way|too|expensive.",e0811-a.mp3,e0811-b.mp3,1,user,Kevin.png,right,left
e0812,va0406,afford,We couldn't afford to go on a trip this year.,,今年は旅行に行く余裕がなかったんだ。,,Matthew,,1,afford,Matthew,,___________,,We couldn't afford to go on a trip this year.,We|couldn't|afford|to|go|on|a|trip|this|year.,e0812-a.mp3,,1,Matthew.png,,left,none
e0813,va0407,sooner or later,"I think sooner or later, everyone will need to think about the environment.","You're right, we can't ignore it forever.",遅かれ早かれ、みんな環境について考えなきゃいけなくなると思う。,確かに、いつまでも無視できないよね。,Ivy,Kevin,1,"sooner|or|later,",Ivy,Kevin,___________,"You're right, we can't ignore it forever.","I think sooner or later, everyone will need to think about the environment.","I|think|sooner|or|later,|everyone|will|need|to|think|about|the|environment.",e0813-a.mp3,e0813-b.mp3,1,user,Kevin.png,right,left
e0814,va0407,sooner or later,"Sooner or later, you'll have to talk to her about it.",,いずれは彼女とそのこと話さなきゃいけなくなるよ。,,Ruth,,1,"Sooner|or|later,",Ruth,,___________,,"Sooner or later, you'll have to talk to her about it.","Sooner|or|later,|you'll|have|to|talk|to|her|about|it.",e0814-a.mp3,,1,05.png,,left,none
e0815,va0408,advise,What would you advise me to do about my grades?,I'd suggest making a study schedule.,成績のことで、何かアドバイスいただけますか？,勉強のスケジュールを作ることをおすすめしますよ。,Ivy,Ruth,1,advise,Ivy,Ruth,___________,I'd suggest making a study schedule.,What would you advise me to do about my grades?,What|would|you|advise|me|to|do|about|my|grades?,e0815-a.mp3,e0815-b.mp3,1,user,05.png,right,left
e0816,va0408,advise,My teacher advised me to join the debate club.,,先生に討論部に入ることを勧められたんだ。,,Ivy,,1,advised,Ivy,,___________,,My teacher advised me to join the debate club.,My|teacher|advised|me|to|join|the|debate|club.,e0816-a.mp3,,1,user,,right,none
e0817,va0409,at most,How long will the test take?,"At most, thirty minutes, I think.",テストどれくらい時間かかる？,たぶん長くても30分くらいかな。,Kevin,Ivy,2,"At|most,",Kevin,Ivy,How long will the test take?,___________,"At most, thirty minutes, I think.","At|most,|thirty|minutes,|I|think.",e0817-a.mp3,e0817-b.mp3,1,Kevin.png,user,left,right
e0818,va0409,at most,We can invite ten people at most.,,招待できるのは多くても10人までだよ。,,Matthew,,1,at|most.,Matthew,,___________,,We can invite ten people at most.,We|can|invite|ten|people|at|most.,e0818-a.mp3,,1,Matthew.png,,left,none
e0819,va0410,embarrass,Please don't embarrass me in front of everyone!,"I would never, I promise!",みんなの前で恥ずかしい思いさせないでよ！,絶対しないよ、約束する！,Ivy,Kevin,1,embarrass,Ivy,Kevin,___________,"I would never, I promise!",Please don't embarrass me in front of everyone!,Please|don't|embarrass|me|in|front|of|everyone!,e0819-a.mp3,e0819-b.mp3,1,user,Kevin.png,right,left
e0820,va0410,embarrass,I got so embarrassed when I tripped in the hallway.,,廊下で転んじゃって、すごく恥ずかしかったんだ。,,Kevin,,1,embarrassed,Kevin,,___________,,I got so embarrassed when I tripped in the hallway.,I|got|so|embarrassed|when|I|tripped|in|the|hallway.,e0820-a.mp3,,1,Kevin.png,,left,none
e0821,va0411,achievement,I'd like to share my biggest achievement this year.,"We're listening, go ahead!",今年の一番の成果についてお話ししたいと思います。,聞いていますので、どうぞ！,Ivy,Ruth,1,achievement,Ivy,Ruth,___________,"We're listening, go ahead!",I'd like to share my biggest achievement this year.,I'd|like|to|share|my|biggest|achievement|this|year.,e0821-a.mp3,e0821-b.mp3,1,user,05.png,right,left
e0822,va0411,achievement,Winning the science fair was a huge achievement for our team.,,科学コンテストで優勝したのは、私たちのチームにとって大きな成果だったんだ。,,Kevin,,1,achievement,Kevin,,___________,,Winning the science fair was a huge achievement for our team.,Winning|the|science|fair|was|a|huge|achievement|for|our|team.,e0822-a.mp3,,1,Kevin.png,,left,none
e0823,va0412,drag,Can you help me drag this box to my room?,"Sure, it looks heavy!",この箱、部屋まで引きずるの手伝ってくれる？,うん、重そうだね！,Ivy,Kevin,1,drag,Ivy,Kevin,___________,"Sure, it looks heavy!",Can you help me drag this box to my room?,Can|you|help|me|drag|this|box|to|my|room?,e0823-a.mp3,e0823-b.mp3,1,user,Kevin.png,right,left
e0824,va0412,drag,"Don't drag your feet, we're going to be late!",,のろのろしないで、遅れちゃうよ！,,Ruth,,1,drag,Ruth,,___________,,"Don't drag your feet, we're going to be late!","Don't|drag|your|feet,|we're|going|to|be|late!",e0824-a.mp3,,1,05.png,,left,none
e0825,va0413,bravely,She bravely spoke up during the meeting.,I really admired that.,彼女は会議で勇気を出して発言したんだ。,本当にすごいと思ったよ。,Ivy,Kevin,1,bravely,Ivy,Kevin,___________,I really admired that.,She bravely spoke up during the meeting.,She|bravely|spoke|up|during|the|meeting.,e0825-a.mp3,e0825-b.mp3,1,user,Kevin.png,right,left
e0826,va0413,bravely,I want to bravely try new things this year.,,今年は勇気を出して新しいことに挑戦したいと思っています。,,Ivy,,1,bravely,Ivy,,___________,,I want to bravely try new things this year.,I|want|to|bravely|try|new|things|this|year.,e0826-a.mp3,,1,user,,right,none
e0827,va0414,be poor at,I'm poor at remembering names.,"Same, it's so embarrassing sometimes!",名前覚えるの苦手なんだよね。,私も、たまにすごく気まずくなるよね！,Ivy,Kevin,1,poor|at,Ivy,Kevin,___________,"Same, it's so embarrassing sometimes!",I'm poor at remembering names.,I'm|poor|at|remembering|names.,e0827-a.mp3,e0827-b.mp3,1,user,Kevin.png,right,left
e0828,va0414,be poor at,"He's not poor at sports, actually, he's pretty good.",,彼、実はスポーツ苦手じゃなくて、結構得意なんだよ。,,Ivy,,1,poor|at,Ivy,,___________,,"He's not poor at sports, actually, he's pretty good.","He's|not|poor|at|sports,|actually,|he's|pretty|good.",e0828-a.mp3,,1,user,,right,none
e0829,va0415,pretend,Let's pretend we're spies for this game.,Yes! I call being the leader!,このゲームではスパイのふりをしようよ。,賛成！リーダー役は私がやる！,Kevin,Ivy,1,pretend,Kevin,Ivy,___________,Yes! I call being the leader!,Let's pretend we're spies for this game.,Let's|pretend|we're|spies|for|this|game.,e0829-a.mp3,e0829-b.mp3,1,Kevin.png,user,left,right
e0830,va0415,pretend,She pretended not to notice the surprise party.,,彼女はサプライズパーティーに気づかないふりをしたんだ。,,Ivy,,1,pretended,Ivy,,___________,,She pretended not to notice the surprise party.,She|pretended|not|to|notice|the|surprise|party.,e0830-a.mp3,,1,user,,right,none
e0831,va0416,divide,Let's divide the presentation into three parts.,"Sounds good, I'll take the first one.",発表を3つのパートに分けましょう。,いいですね、最初のパートは私が担当します。,Ivy,Kevin,1,divide,Ivy,Kevin,___________,"Sounds good, I'll take the first one.",Let's divide the presentation into three parts.,Let's|divide|the|presentation|into|three|parts.,e0831-a.mp3,e0831-b.mp3,1,user,Kevin.png,right,left
e0832,va0416,divide,The teacher divided the class into small groups.,,先生はクラスを小グループに分けたんだ。,,Ruth,,1,divided,Ruth,,___________,,The teacher divided the class into small groups.,The|teacher|divided|the|class|into|small|groups.,e0832-a.mp3,,1,05.png,,left,none
e0833,va0417,return,When do we need to return these library books?,"By next Friday, I believe.",この図書館の本、いつまでに返さないといけないですか？,来週の金曜日までだったと思います。,Ivy,Matthew,1,return,Ivy,Matthew,___________,"By next Friday, I believe.",When do we need to return these library books?,When|do|we|need|to|return|these|library|books?,e0833-a.mp3,e0833-b.mp3,1,user,Matthew.png,right,left
e0834,va0417,return,I returned home late because of practice.,,部活の練習で、帰るのが遅くなったんだ。,,Kevin,,1,returned,Kevin,,___________,,I returned home late because of practice.,I|returned|home|late|because|of|practice.,e0834-a.mp3,,1,Kevin.png,,left,none
e0835,va0418,cheer,Let's cheer for our team at the game!,Yes! I made a poster too!,試合で私たちのチームを応援しようよ！,うん！ポスターも作ったんだ！,Ivy,Kevin,1,cheer,Ivy,Kevin,___________,Yes! I made a poster too!,Let's cheer for our team at the game!,Let's|cheer|for|our|team|at|the|game!,e0835-a.mp3,e0835-b.mp3,1,user,Kevin.png,right,left
e0836,va0418,cheer,Everyone cheered when she scored the winning goal.,,彼女が決勝ゴールを決めたとき、みんなが歓声をあげたんだ。,,Ivy,,1,cheered,Ivy,,___________,,Everyone cheered when she scored the winning goal.,Everyone|cheered|when|she|scored|the|winning|goal.,e0836-a.mp3,,1,user,,right,none
e0837,va0419,case,"In that case, I think we should ask the teacher for help.","That makes sense, let's do that.",それなら、先生に助けを求めたほうがいいと思うな。,それは理にかなってるね、そうしよう。,Ivy,Kevin,1,"case,",Ivy,Kevin,___________,"That makes sense, let's do that.","In that case, I think we should ask the teacher for help.","In|that|case,|I|think|we|should|ask|the|teacher|for|help.",e0837-a.mp3,e0837-b.mp3,1,user,Kevin.png,right,left
e0838,va0419,case,"In some cases, it's okay to change your opinion.",,場合によっては、意見を変えてもいいと思っています。,,Ivy,,1,"cases,",Ivy,,___________,,"In some cases, it's okay to change your opinion.","In|some|cases,|it's|okay|to|change|your|opinion.",e0838-a.mp3,,1,user,,right,none
e0839,va0420,failure,"I don't see this as a failure, but as a lesson.",That's a really mature way to think about it.,私はこれを失敗ではなく、学びだと捉えています。,それはすごく大人な考え方だね。,Ivy,Ruth,1,"failure,",Ivy,Ruth,___________,That's a really mature way to think about it.,"I don't see this as a failure, but as a lesson.","I|don't|see|this|as|a|failure,|but|as|a|lesson.",e0839-a.mp3,e0839-b.mp3,1,user,05.png,right,left
e0840,va0420,failure,Fear of failure shouldn't stop us from trying.,,失敗を恐れることが、挑戦を止める理由にはならないと思います。,,Ivy,,1,failure,Ivy,,___________,,Fear of failure shouldn't stop us from trying.,Fear|of|failure|shouldn't|stop|us|from|trying.,e0840-a.mp3,,1,user,,right,none
e0841,va0421,tip,Do you have any tips for the math test?,"Just review the practice problems, that's what helped me.",数学のテストで何かコツある？,練習問題を見直すだけだよ、それが役に立ったんだ。,Kevin,Ivy,1,tips,Kevin,Ivy,___________,"Just review the practice problems, that's what helped me.",Do you have any tips for the math test?,Do|you|have|any|tips|for|the|math|test?,e0841-a.mp3,e0841-b.mp3,1,Kevin.png,user,left,right
e0842,va0421,tip,"Thanks for the tip, I'll try that.",,コツ教えてくれてありがとう、やってみるね。,,Ivy,,1,"tip,",Ivy,,___________,,"Thanks for the tip, I'll try that.","Thanks|for|the|tip,|I'll|try|that.",e0842-a.mp3,,1,user,,right,none
